Time, Distance, CarPositionX, CarPositionY, CarPositionZ, Speed
0, 67.34563, -17.05, -0.003920317, 88.44, 0.705657
0.02, 67.34561, -17.05, -0.01105732, 88.44, 1.28466
0.0881012, 67.34552, -17.05001, -0.04826957, 88.43999, 1.967133
0.1323989, 67.34547, -17.05002, -0.07274878, 88.43999, 1.989385
0.1682662, 67.34529, -17.05003, -0.08133501, 88.43998, 0.8618025
0.2099487, 67.34516, -17.05004, -0.07405484, 88.43996, 0.6287693
0.2462695, 67.3453, -17.05, -0.06003433, 88.43997, 1.389671
0.2830514, 67.34571, -17.04993, -0.04939449, 88.44, 1.041398
0.3184233, 67.34593, -17.04989, -0.04717046, 88.44002, 0.2263906
0.3520477, 67.34623, -17.04986, -0.04889625, 88.44004, 0.1848138
0.3866244, 67.34621, -17.04987, -0.05535531, 88.44005, 0.6724954
0.4232491, 67.34586, -17.0499, -0.06137371, 88.44003, 0.5915831
0.456062, 67.34561, -17.04992, -0.06307161, 88.44002, 0.1862964
0.4891659, 67.34515, -17.04994, -0.06331354, 88.43999, 0.02663514
0.5229799, 67.34501, -17.04995, -0.06062704, 88.43997, 0.2860241
0.5585074, 67.3451, -17.04995, -0.05896235, 88.43997, 0.1686842
0.5950828, 67.34549, -17.04992, -0.05639207, 88.43998, 0.2529948
0.6330312, 67.34592, -17.04989, -0.05570453, 88.44, 0.06533248
0.6690588, 67.34618, -17.04987, -0.05665976, 88.44002, 0.09549356
0.7048876, 67.34618, -17.04985, -0.05817235, 88.44002, 0.1519874
0.7409502, 67.34595, -17.04985, -0.05920762, 88.44, 0.1033595
0.7770336, 67.34579, -17.04985, -0.0593881, 88.44, 0.01800657
0.8134868, 67.34551, -17.04985, -0.05913997, 88.43999, 0.02455411
0.8499379, 67.34538, -17.04986, -0.05847842, 88.43998, 0.06534192
0.8873467, 67.34545, -17.04986, -0.0579164, 88.43998, 0.05408595
0.9230582, 67.34566, -17.04986, -0.05773193, 88.43998, 0.01859667
0.9572214, 67.34575, -17.04986, -0.05778056, 88.43998, 0.005129179
0.9921317, 67.34583, -17.04986, -0.0578928, 88.43998, 0.01157556
1.028128, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.064052, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.098492, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.132676, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.168155, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.203232, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.238085, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.273986, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.307873, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.342347, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.378019, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.413845, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.448513, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.484509, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.519701, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.554705, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.590247, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.624666, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.661313, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.697572, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.732743, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.768103, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.800849, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.833328, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.866259, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.900782, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.934055, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.968762, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.000203, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.031886, 67.34583, -17.04986, -0.0578928, 88.43998, 0
