in,out,start,end
38_17_traffic_lights_roleIdx-0_target_labeled-true_ego_labeled-false_23-09-28_02-34.mp4,video_38.mp4,00:00:01.983,00:00:36.983
39_18_overtaken_roleIdx-0_target_labeled-true_ego_labeled-false_23-09-28_02-38.mp4,video_39.mp4,00:00:01.166,00:00:29.166
40_19_speed_limit_roleIdx-0_target_labeled-true_ego_labeled-false_23-09-28_02-42.mp4,video_40.mp4,00:00:01.416,00:00:16.416
41_21_avoid_pedestrian_roleIdx-0_target_labeled-true_ego_labeled-false_23-09-28_02-45.mp4,video_41.mp4,00:00:07.616,00:00:35.616
42_0_baseline_roleIdx-0_target_labeled-false_ego_labeled-true_23-10-12_12-26.mp4,video_42_a.mp4,00:00:00.200,00:00:35.200
43_1_overtake_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_02-52.mp4,video_43.mp4,00:00:00.400,00:00:32.400
44_2_small_gap_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_02-56.mp4,video_44.mp4,00:00:01.016,00:00:34.016
45_3_abrupt_break_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_03-00.mp4,video_45.mp4,00:00:04.516,00:00:39.516
46_4_abrupt_break_withoutfrontcar_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_03-03.mp4,video_46.mp4,00:00:04.666,00:00:41.666
47_5_late_start_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_03-07.mp4,video_47.mp4,00:00:01.016,00:00:35.016
48_6_late_start_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_03-10.mp4,video_48.mp4,00:00:01.016,00:00:35.016
49_7_cut_off_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_03-14.mp4,video_49.mp4,00:00:00.416,00:00:24.416
50_8_cut_up_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_03-18.mp4,video_50.mp4,00:00:00.300,00:00:37.300
51_9_flashes_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_03-21.mp4,video_51.mp4,00:00:05.466,00:00:28.466
52_10_platoon_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_03-25.mp4,video_52.mp4,00:00:05.633,00:00:39.633
53_11_slow_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_03-28.mp4,video_53.mp4,00:00:00.333,00:00:30.333
54_12_changing_lines_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_03-32.mp4,video_54.mp4,00:00:01.033,00:00:26.033
55_13_center_line_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_03-36.mp4,video_55.mp4,00:00:00.566,00:00:30.566
56_14_platoon_lowers_speed_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_03-40.mp4,video_56.mp4,00:00:00.350,00:00:42.350
57_15_pedestrian_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_03-43.mp4,video_57.mp4,00:00:01.033,00:00:23.033
58_16_large_gap_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_03-47.mp4,video_58.mp4,00:00:01.016,00:00:24.016
59_17_traffic_lights_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_03-51.mp4,video_59.mp4,00:00:01.983,00:00:36.983
60_18_overtaken_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_03-54.mp4,video_60.mp4,00:00:01.166,00:00:29.166
61_19_speed_limit_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_03-58.mp4,video_61.mp4,00:00:01.416,00:00:16.416
62_21_avoid_pedestrian_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_04-01.mp4,video_62.mp4,00:00:07.616,00:00:35.616
63_0_baseline_roleIdx-0_target_labeled-true_ego_labeled-true_23-10-12_12-30.mp4,video_63_a.mp4,00:00:00.200,00:00:35.200
64_1_overtake_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_04-09.mp4,video_64.mp4,00:00:00.400,00:00:32.400
65_2_small_gap_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_04-12.mp4,video_65.mp4,00:00:01.016,00:00:34.016
66_3_abrupt_break_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_04-16.mp4,video_66.mp4,00:00:04.516,00:00:39.516
67_4_abrupt_break_withoutfrontcar_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_04-19.mp4,video_67.mp4,00:00:04.666,00:00:41.666
68_5_late_start_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_04-23.mp4,video_68.mp4,00:00:01.016,00:00:35.016
69_6_late_start_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_04-27.mp4,video_69.mp4,00:00:01.016,00:00:35.016
70_7_cut_off_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_04-30.mp4,video_70.mp4,00:00:00.416,00:00:24.416
71_8_cut_up_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_04-34.mp4,video_71.mp4,00:00:00.300,00:00:37.300
72_9_flashes_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_04-37.mp4,video_72.mp4,00:00:05.466,00:00:28.466
73_10_platoon_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_04-41.mp4,video_73.mp4,00:00:05.633,00:00:39.633
74_11_slow_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_04-44.mp4,video_74.mp4,00:00:00.333,00:00:30.333
75_12_changing_lines_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_04-48.mp4,video_75.mp4,00:00:01.033,00:00:26.033
76_13_center_line_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_04-52.mp4,video_76.mp4,00:00:00.566,00:00:30.566
77_14_platoon_lowers_speed_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_04-56.mp4,video_77.mp4,00:00:00.350,00:00:42.350
78_15_pedestrian_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_04-59.mp4,video_78.mp4,00:00:01.033,00:00:23.033
79_16_large_gap_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_05-03.mp4,video_79.mp4,00:00:01.016,00:00:24.016
80_17_traffic_lights_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_05-06.mp4,video_80.mp4,00:00:01.983,00:00:36.983
81_18_overtaken_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_05-10.mp4,video_81.mp4,00:00:01.166,00:00:29.166
82_19_speed_limit_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_05-14.mp4,video_82.mp4,00:00:01.416,00:00:16.416
83_21_avoid_pedestrian_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_05-17.mp4,video_83.mp4,00:00:07.616,00:00:35.616
84_0_test-trial-video_roleIdx-0_target_labeled-true_ego_labeled-false_23-09-28_05-21.mp4,video_test_mv_0.mp4,00:00:00.200,00:00:25.200
85_0_test-trial-video_roleIdx-0_target_labeled-true_ego_labeled-true_23-09-28_05-24.mp4,video_test_av_0.mp4,00:00:00.200,00:00:25.200
86_0_test-trial-video_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-28_05-28.mp4,video_test_av_1.mp4,00:00:00.200,00:00:25.200
87_0_test-trial-video_roleIdx-0_target_labeled-false_ego_labeled-false_23-09-28_05-32.mp4,video_test_mv_1.mp4,00:00:00.200,00:00:25.200
