Time, Distance, CarPositionX, CarPositionY, CarPositionZ, Speed
0, 67.34563, -17.05, -0.003920317, 88.44, 0.705657
0.02, 67.34561, -17.05, -0.01105732, 88.44, 1.28466
0.0864652, 67.34552, -17.05001, -0.04826957, 88.43999, 2.015553
0.1283386, 67.34547, -17.05002, -0.07274878, 88.43999, 2.104562
0.1655104, 67.34529, -17.05003, -0.08133501, 88.43998, 0.8315586
0.2017847, 67.34516, -17.05004, -0.07405484, 88.43996, 0.7225136
0.2401427, 67.3453, -17.05, -0.06003433, 88.43997, 1.315865
0.2751595, 67.34549, -17.04997, -0.05381989, 88.43998, 0.6389031
0.3091961, 67.34593, -17.04989, -0.04717046, 88.44002, 0.7033633
0.3429356, 67.34623, -17.04986, -0.04889625, 88.44004, 0.1841833
0.3756258, 67.34626, -17.04986, -0.05186999, 88.44005, 0.327483
0.4094966, 67.34607, -17.04989, -0.05869561, 88.44004, 0.7254753
0.446459, 67.34561, -17.04992, -0.06307161, 88.44002, 0.4262217
0.4805775, 67.34515, -17.04994, -0.06331354, 88.43999, 0.02584308
0.5175758, 67.34503, -17.04995, -0.06218773, 88.43998, 0.1095486
0.5507042, 67.3451, -17.04995, -0.05896235, 88.43997, 0.3504976
0.5837617, 67.34549, -17.04992, -0.05639207, 88.43998, 0.2799179
0.6159689, 67.34572, -17.04991, -0.0557977, 88.43999, 0.06648687
0.6489648, 67.34608, -17.04988, -0.05603582, 88.44001, 0.02621978
0.6828048, 67.34621, -17.04986, -0.05742109, 88.44002, 0.1473855
0.7170772, 67.34618, -17.04985, -0.05817235, 88.44002, 0.07891491
0.7489868, 67.34595, -17.04985, -0.05920762, 88.44, 0.1168116
0.7810635, 67.34563, -17.04985, -0.05934954, 88.43999, 0.01595211
0.812974, 67.34551, -17.04985, -0.05913997, 88.43999, 0.02365938
0.8433321, 67.34538, -17.04986, -0.05847842, 88.43998, 0.07845633
0.8764878, 67.34541, -17.04986, -0.05816001, 88.43998, 0.03457292
0.9086692, 67.34555, -17.04986, -0.05777258, 88.43998, 0.04334074
0.9414031, 67.34575, -17.04986, -0.05778056, 88.43998, 0.000903094
0.9749788, 67.34583, -17.04986, -0.0578928, 88.43998, 0.01203568
1.007089, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.040544, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.073431, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.10634, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.139383, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.173352, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.203892, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.238634, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.273245, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.308457, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.342505, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.376024, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.409111, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.443289, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.476852, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.513181, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.548139, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.581795, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.615911, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.649779, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.683026, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.717072, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.751517, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.785273, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.818616, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.852176, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.88589, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.91877, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.952891, 67.34583, -17.04986, -0.0578928, 88.43998, 0
