Time, Distance, CarPositionX, CarPositionY, CarPositionZ, Speed
0, 67.34563, -17.05, -0.003920317, 88.44, 0.705657
0.02, 67.34561, -17.05, -0.01105732, 88.44, 1.28466
0.1008444, 67.3455, -17.05001, -0.06197244, 88.43999, 2.26725
0.1582587, 67.3454, -17.05002, -0.0793246, 88.43999, 1.088019
0.2143204, 67.34516, -17.05004, -0.07405484, 88.43996, 0.3384021
0.2712611, 67.34549, -17.04997, -0.05381989, 88.43998, 1.279335
0.3286562, 67.34612, -17.04987, -0.04712856, 88.44003, 0.4197646
0.382104, 67.34621, -17.04987, -0.05535531, 88.44005, 0.5541177
0.4424074, 67.34561, -17.04992, -0.06307161, 88.44002, 0.4606596
0.495651, 67.34515, -17.04994, -0.06331354, 88.43999, 0.01656025
0.543309, 67.3451, -17.04995, -0.05896235, 88.43997, 0.3286841
0.5939845, 67.34549, -17.04992, -0.05639207, 88.43998, 0.1826008
0.6449226, 67.34608, -17.04988, -0.05603582, 88.44001, 0.02547657
0.6937212, 67.34621, -17.04986, -0.05742109, 88.44002, 0.1022063
0.7411979, 67.34595, -17.04985, -0.05920762, 88.44, 0.1354735
0.7904509, 67.34563, -17.04985, -0.05934954, 88.43999, 0.01038903
0.8396737, 67.34542, -17.04985, -0.05882597, 88.43998, 0.03830932
0.8900539, 67.34545, -17.04986, -0.0579164, 88.43998, 0.06499588
0.9374439, 67.34566, -17.04986, -0.05773193, 88.43998, 0.01401382
0.9838691, 67.34583, -17.04986, -0.0578928, 88.43998, 0.01247825
1.032733, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.079089, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.127817, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.175749, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.221265, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.270888, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.315524, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.361779, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.41005, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.458133, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.504713, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.553341, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.601631, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.649455, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.699133, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.745683, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.794207, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.84256, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.888591, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.934603, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.980659, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.027248, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.077503, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.124928, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.171259, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.218048, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.263226, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.311711, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.358448, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.403111, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.450257, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.496958, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.544333, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.593588, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.638939, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.684378, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.734881, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.799941, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.858841, 67.34583, -17.04986, -0.0578928, 88.43998, 0
