X,Y
-256.9876,-0.05786709
-256.9863,-0.05785931
-256.9826,-0.05802701
-256.9747,-0.05794904
-256.9714,-0.05794555
-256.9706,-0.0579997
-256.9672,-0.05798876
-256.9671,-0.05795885
-256.9615,-0.0578635
-256.9593,-0.05791262
-256.9591,-0.05817616
-256.9586,-0.05798757
-256.9435,-0.05787728
-256.942,-0.05780473
-256.9353,-0.05795228
-256.9316,-0.05783083
-256.9276,-0.05801284
-256.9209,-0.05794634
-256.9194,-0.057983
-256.9154,-0.05792281
-256.9037,-0.05803917
-256.903,-0.05801992
-256.9022,-0.05786918
-256.8999,-0.05792288
-256.8971,-0.05799989
-256.8965,-0.05776955
-256.8838,-0.05795973
-256.8828,-0.0581159
-256.8728,-0.05802822
-256.8662,-0.05804991
-256.8651,-0.05803077
-256.8632,-0.057884
-256.859,-0.05796122
-256.8567,-0.0579339
-256.8566,-0.0581619
-256.8528,-0.05775363
-256.8483,-0.05788494
-256.8471,-0.05801227
-256.8424,-0.05787565
-256.8347,-0.05800758
-256.8227,-0.05811628
-256.8175,-0.05803955
-256.8169,-0.05791959
-256.8168,-0.05782815
-256.8124,-0.058045
-256.8121,-0.05783719
-256.8036,-0.05802672
-256.7992,-0.05789765
-256.7959,-0.05798347
-256.7813,-0.05788307
-256.7776,-0.05794759
-256.7767,-0.05790817
-256.7714,-0.0580459
-256.7622,-0.05810043
-256.7619,-0.05805781
-256.7616,-0.05795909
-256.7608,-0.05781604
-256.7591,-0.0578585
-256.7576,-0.05782385
-256.7525,-0.05815366
-256.7416,-0.05801062
-256.7371,-0.05789943
-256.7333,-0.05798229
-256.7208,-0.05788771
-256.7175,-0.05794677
-256.7097,-0.05800893
-256.7072,-0.05811311
-256.7059,-0.05807831
-256.7047,-0.05781032
-256.7043,-0.058023
-256.7038,-0.05805546
-256.7009,-0.05792452
-256.7007,-0.05796132
-256.6999,-0.05790336
-256.6996,-0.05808985
-256.6776,-0.05798906
-256.6751,-0.05796501
-256.669,-0.05803446
-256.6665,-0.0579338
-256.6587,-0.05789633
-256.655,-0.05790553
-256.6538,-0.05810302
-256.6508,-0.05781299
-256.649,-0.05803854
-256.6467,-0.0581529
-256.6402,-0.05794821
-256.6395,-0.05784972
-256.6383,-0.05798638
-256.6372,-0.05796951
-256.6188,-0.05798391
-256.6144,-0.05791004
-256.6051,-0.05805773
-256.6011,-0.05794459
-256.5985,-0.0580846
-256.5963,-0.05792843
-256.5928,-0.05801261
-256.5917,-0.05809672
-256.5823,-0.05800953
-256.5739,-0.05804807
-256.5736,-0.0579743
-256.5714,-0.05801406
-256.557,-0.05794258
-256.5509,-0.05794645
-256.5411,-0.05785737
-256.5406,-0.05805832
-256.5403,-0.0581555
-256.5363,-0.05797856
-256.5356,-0.05790814
-256.5337,-0.05790879
-256.5296,-0.05794136
-256.5201,-0.05801781
-256.5178,-0.05801051
-256.5107,-0.05797681
-256.5071,-0.05803157
-256.5035,-0.0579167
-256.4967,-0.05794137
-256.4874,-0.05795998
-256.4822,-0.05787904
-256.4804,-0.05794118
-256.4755,-0.05788859
-256.4738,-0.05807519
-256.4731,-0.05800561
-256.4526,-0.0580111
-256.448,-0.05792083
-256.4456,-0.05801718
-256.4354,-0.05794813
-256.4352,-0.05789456
-256.4309,-0.05793886
-256.4253,-0.05798748
-256.4235,-0.05796824
-256.4228,-0.05791247
-256.4171,-0.05803341
-256.4159,-0.05784131
-256.4077,-0.05805795
-256.4026,-0.05799829
-256.3989,-0.0580376
-256.3953,-0.05789691
-256.3879,-0.05800649
-256.38,-0.05799956
-256.3798,-0.05801345
-256.3759,-0.05797131
-256.3737,-0.05792006
-256.3662,-0.05789083
-256.3651,-0.05796541
-256.3585,-0.05800125
-256.3579,-0.05801184
-256.3529,-0.05788077
-256.3497,-0.05781702
-256.3405,-0.0579132
-256.3362,-0.05803053
-256.3227,-0.05787336
-256.3216,-0.05817016
-256.3195,-0.05799245
-256.3158,-0.05800986
-256.3145,-0.05798216
-256.3128,-0.0580188
-256.3118,-0.05797049
-256.3047,-0.05788793
-256.3037,-0.05795058
-256.3,-0.0578994
-256.2905,-0.05783793
-256.281,-0.05781304
-256.2784,-0.05786064
-256.2746,-0.05800756
-256.2726,-0.05799858
-256.2632,-0.05799093
-256.2538,-0.05798864
-256.2492,-0.05797544
-256.2395,-0.05799424
-256.2372,-0.05781925
-256.2328,-0.05779427
-256.2325,-0.05791193
-256.2247,-0.05790599
-256.2202,-0.05781072
-256.2128,-0.05797786
-256.2118,-0.05782231
-256.2092,-0.05817745
-256.209,-0.05790934
-256.1866,-0.05776451
-256.1862,-0.05797306
-256.1855,-0.05793129
-256.1852,-0.05797424
-256.1834,-0.05804355
-256.1797,-0.05786349
-256.1792,-0.05800092
-256.1781,-0.05795318
-256.1771,-0.0580545
-256.1598,-0.05795989
-256.1497,-0.05792927
-256.1487,-0.05795002
-256.1421,-0.0578457
-256.141,-0.05790841
-256.1394,-0.05777494
-256.1352,-0.05794502
-256.129,-0.05782338
-256.1252,-0.05796482
-256.1182,-0.05801775
-256.118,-0.05795738
-256.114,-0.05781043
-256.1127,-0.05797495
-256.1094,-0.05795043
-256.1092,-0.0580743
-256.0918,-0.05788159
-256.0908,-0.05781908
-256.0869,-0.05782479
-256.0732,-0.05790374
-256.0637,-0.0580002
-256.0603,-0.05782836
-256.057,-0.05804215
-256.0558,-0.05794137
-256.0489,-0.05794936
-256.0471,-0.05805063
-256.0462,-0.05800717
-256.0397,-0.05835556
-256.0325,-0.05783639
-256.021,-0.05788881
-256.0202,-0.05799811
-256.0192,-0.05789287
-256.0053,-0.05789825
-256.0041,-0.05785623
