X,Y
-229.8629,-0.05788532
-229.8398,-0.05793339
-229.8366,-0.05792662
-229.8364,-0.05794934
-229.7994,-0.05809854
-229.7934,-0.05784062
-229.7772,-0.05797541
-229.7576,-0.05803002
-229.7412,-0.05798207
-229.7394,-0.05802896
-229.7207,-0.0581806
-229.7067,-0.05797103
-229.6928,-0.05792633
-229.6855,-0.05794789
-229.6797,-0.05791191
-229.6751,-0.0579273
-229.6453,-0.05798275
-229.6396,-0.05793352
-229.6394,-0.05799279
-229.6005,-0.05817754
-229.5753,-0.05793359
-229.5611,-0.05794837
-229.5578,-0.05792714
-229.553,-0.05793503
-229.5181,-0.05795145
-229.5105,-0.05814148
-229.5104,-0.05795536
-229.5083,-0.05789405
-229.5058,-0.05780314
-229.5009,-0.0579963
-229.4893,-0.0580902
-229.4537,-0.05804592
-229.4388,-0.05798625
-229.424,-0.05795695
-229.4058,-0.0580682
-229.4012,-0.05780822
-229.3887,-0.05791862
-229.3739,-0.05804258
-229.3667,-0.05809712
-229.3658,-0.05797322
-229.3598,-0.05798494
-229.3325,-0.05790315
-229.3227,-0.05789341
-229.3201,-0.05792913
-229.3101,-0.05798356
-229.3061,-0.05796263
-229.2997,-0.05809326
-229.2806,-0.05792274
-229.2754,-0.05799622
-229.2697,-0.05799064
-229.2684,-0.05792046
-229.2267,-0.05796161
-229.2163,-0.05785586
-229.1826,-0.05802474
-229.1669,-0.05787496
-229.1432,-0.0579927
-229.1404,-0.05793666
-229.1299,-0.05789943
-229.1165,-0.0580228
-229.1159,-0.05823175
-229.1149,-0.05803393
-229.0882,-0.05786901
-229.0875,-0.05790291
-229.0807,-0.05792461
-229.054,-0.05801588
-229.0412,-0.05786723
-228.9902,-0.05796762
-228.9864,-0.05796927
-228.9615,-0.0580505
-228.9385,-0.05789656
-228.9363,-0.0579099
-228.9336,-0.05791622
-228.9312,-0.05794089
-228.9274,-0.05794356
-228.9247,-0.05787124
-228.9048,-0.0580165
-228.8875,-0.05797606
-228.8832,-0.05799422
-228.8767,-0.05824454
-228.8621,-0.05798195
-228.8533,-0.05786998
-228.8506,-0.05786157
-228.8132,-0.05801133
-228.8073,-0.05796881
-228.8046,-0.05802829
-228.7971,-0.05787738
-228.7818,-0.05798247
-228.7727,-0.05776828
-228.7504,-0.05782913
-228.743,-0.05801131
-228.7386,-0.05781795
-228.7381,-0.0579692
-228.7189,-0.0579888
-228.7126,-0.05786245
-228.6951,-0.05786059
-228.6735,-0.05795891
-228.6528,-0.0580603
-228.6416,-0.05773448
-228.6384,-0.05795335
-228.6374,-0.0580501
-228.6223,-0.05800588
-228.6201,-0.05794684
-228.6128,-0.05774817
-228.5849,-0.05798803
-228.5773,-0.05800493
-228.5673,-0.05792741
-228.5178,-0.05788163
-228.4947,-0.05804156
-228.488,-0.0580081
-228.4637,-0.05805929
-228.4331,-0.05785099
-228.4043,-0.05783579
-228.3873,-0.05823313
-228.3855,-0.05803274
-228.3755,-0.05789191
-228.3739,-0.05790082
-228.3727,-0.05774331
-228.3549,-0.05766632
-228.3504,-0.05803898
-228.3366,-0.05799406
-228.3365,-0.05800513
-228.311,-0.05803257
-228.2883,-0.05807683
-228.2864,-0.05796846
-228.2718,-0.05792277
-228.2536,-0.05793457
-228.2464,-0.05791514
-228.2427,-0.057777
-228.2323,-0.05785455
-228.2288,-0.05792201
-228.2287,-0.0576627
-228.2268,-0.05788842
-228.2213,-0.05791934
-228.1995,-0.05796914
-228.1837,-0.05799936
-228.1564,-0.05806265
-228.1559,-0.05784315
-228.1551,-0.05801396
-228.1175,-0.05789975
-228.1166,-0.05806772
-228.1142,-0.05806016
-228.0497,-0.05805482
-228.0439,-0.05795619
-228.0247,-0.05791714
-228.0172,-0.05784296
-227.9994,-0.05787736
-227.9752,-0.05789191
-227.9738,-0.05774828
-227.9456,-0.05806231
-227.9383,-0.05796126
-227.9075,-0.05791512
-227.906,-0.05799945
-227.8963,-0.05815306
-227.895,-0.0578463
-227.8789,-0.05804345
-227.8785,-0.05795722
-227.8769,-0.05801596
-227.8756,-0.05789604
-227.867,-0.05788513
-227.8406,-0.05793619
-227.803,-0.05789049
-227.7917,-0.05797993
-227.7696,-0.05806084
-227.765,-0.05797726
-227.7617,-0.05788866
-227.7506,-0.05802831
-227.7421,-0.05784667
-227.7241,-0.05786775
-227.7178,-0.05790332
-227.7122,-0.05797667
-227.7118,-0.05780289
-227.7,-0.05807224
-227.6896,-0.05789766
-227.6894,-0.05789101
-227.649,-0.05799792
-227.6475,-0.05789497
-227.6269,-0.0580533
-227.5924,-0.05805477
-227.5901,-0.05798226
-227.5887,-0.05792942
-227.5753,-0.0579939
-227.5701,-0.05788454
-227.5443,-0.05787494
-227.5414,-0.05797677
-227.5028,-0.05802086
-227.4678,-0.05785801
-227.466,-0.05785684
-227.4361,-0.05805108
-227.4192,-0.05811593
-227.4142,-0.05780159
