X,Y
-256.993,-0.05781937
-256.9926,-0.05805043
-256.9898,-0.05804241
-256.989,-0.05800947
-256.9847,-0.05785188
-256.9792,-0.05805788
-256.9749,-0.05810456
-256.9613,-0.05786309
-256.9611,-0.05797891
-256.9585,-0.05788704
-256.958,-0.05787818
-256.9546,-0.05795494
-256.9542,-0.05813599
-256.954,-0.05782935
-256.9539,-0.05807147
-256.9535,-0.0578745
-256.9485,-0.05787959
-256.9456,-0.05803098
-256.9435,-0.05779836
-256.9296,-0.05782323
-256.9258,-0.05802092
-256.9224,-0.0579367
-256.916,-0.05782711
-256.9142,-0.05802415
-256.912,-0.05790662
-256.9105,-0.05806282
-256.9073,-0.05797197
-256.9067,-0.05787984
-256.9051,-0.05796935
-256.9046,-0.05783907
-256.8982,-0.05805741
-256.8857,-0.05794845
-256.8784,-0.05782819
-256.8759,-0.05792788
-256.8702,-0.05785171
-256.8673,-0.05782054
-256.867,-0.05794302
-256.8651,-0.05794299
-256.8647,-0.05811713
-256.8602,-0.05798442
-256.8537,-0.05799725
-256.8533,-0.05787161
-256.8529,-0.05782977
-256.8469,-0.05810511
-256.8449,-0.05784234
-256.8435,-0.05806764
-256.842,-0.0580446
-256.8248,-0.05784671
-256.8227,-0.05791779
-256.8174,-0.05783492
-256.8158,-0.05794197
-256.8116,-0.05794163
-256.8067,-0.0581139
-256.8059,-0.05798552
-256.8016,-0.05794938
-256.7995,-0.05785326
-256.7943,-0.05792097
-256.7938,-0.05791314
-256.7915,-0.05796105
-256.7901,-0.05785273
-256.7839,-0.05804157
-256.781,-0.05784067
-256.7775,-0.05810564
-256.7699,-0.05801282
-256.7584,-0.0579754
-256.7547,-0.05793729
-256.754,-0.0578192
-256.7494,-0.05784746
-256.7485,-0.05797238
-256.7452,-0.05811236
-256.7448,-0.05794095
-256.7445,-0.05788717
-256.7434,-0.0579918
-256.7393,-0.0578902
-256.7374,-0.05791227
-256.7353,-0.05784797
-256.7278,-0.05803967
-256.727,-0.05793625
-256.726,-0.0580435
-256.7166,-0.05790873
-256.7154,-0.05789957
-256.7087,-0.05797472
-256.702,-0.05810587
-256.6992,-0.05796693
-256.6985,-0.05792639
-256.6956,-0.05784284
-256.689,-0.05785954
-256.6889,-0.05792501
-256.6829,-0.05786281
-256.678,-0.05802184
-256.6742,-0.05792897
-256.6718,-0.05794793
-256.6683,-0.05804925
-256.6659,-0.05806006
-256.6644,-0.05793579
-256.6618,-0.05810979
-256.6585,-0.05794127
-256.6537,-0.05793659
-256.6507,-0.05791708
-256.6469,-0.05796109
-256.6442,-0.05787056
-256.6427,-0.05784037
-256.6416,-0.0579189
-256.639,-0.058144
-256.6288,-0.05794226
-256.6194,-0.05812294
-256.6163,-0.05810203
-256.6147,-0.05797042
-256.6125,-0.0579175
-256.6111,-0.05797463
-256.6071,-0.05806447
-256.6063,-0.05798153
-256.6003,-0.05798987
-256.5987,-0.0579308
-256.598,-0.05796221
-256.5979,-0.05788857
-256.5896,-0.05784421
-256.5833,-0.05794396
-256.575,-0.05813809
-256.5695,-0.05782444
-256.5676,-0.05791179
-256.556,-0.0578872
-256.5539,-0.05799793
-256.5524,-0.05799416
-256.5473,-0.05809744
-256.5436,-0.05810423
-256.5435,-0.05811572
-256.5348,-0.05809448
-256.5347,-0.0578546
-256.5345,-0.0579373
-256.5325,-0.05819968
-256.5283,-0.05780374
-256.5258,-0.05792443
-256.5133,-0.05782891
-256.5068,-0.05801257
-256.5049,-0.05803178
-256.5041,-0.05785941
-256.4949,-0.05800014
-256.4948,-0.05794251
-256.4832,-0.05787426
-256.4789,-0.05815735
-256.4782,-0.05817718
-256.4721,-0.05784077
-256.4683,-0.05786947
-256.4621,-0.05810256
-256.4574,-0.05791607
-256.4554,-0.05803594
-256.4548,-0.05793872
-256.4541,-0.05800698
-256.448,-0.0580036
-256.4434,-0.05804266
-256.4409,-0.05798303
-256.4389,-0.05783385
-256.4343,-0.05798836
-256.4261,-0.05816497
-256.4246,-0.05787288
-256.4236,-0.05812475
-256.4167,-0.05813269
-256.4131,-0.05819681
-256.4095,-0.0579544
-256.4085,-0.05794302
-256.4083,-0.05791604
-256.4051,-0.05783223
-256.404,-0.05802697
-256.4031,-0.05808308
-256.3996,-0.05790239
-256.3994,-0.05798494
-256.3874,-0.05808356
-256.371,-0.05815642
-256.3691,-0.05788347
-256.369,-0.05800589
-256.3689,-0.05802476
-256.3679,-0.05805537
-256.3611,-0.057902
-256.3516,-0.05813299
-256.3479,-0.0580183
-256.3446,-0.05823037
-256.3424,-0.05796061
-256.3372,-0.0579046
-256.3362,-0.05784746
-256.3327,-0.05787477
-256.3255,-0.05807867
-256.3131,-0.05789576
-256.3127,-0.05788958
-256.3121,-0.05805406
-256.3114,-0.05797872
-256.2994,-0.05797464
-256.2914,-0.05785535
-256.2913,-0.05803182
-256.2911,-0.05789137
-256.2884,-0.05800672
-256.2874,-0.0580797
-256.2846,-0.05802091
-256.2713,-0.0581617
-256.2657,-0.05787356
-256.2629,-0.05793983
-256.2628,-0.05787999
-256.2543,-0.05811463
-256.2512,-0.05789331
-256.2505,-0.05783973
-256.2473,-0.05807092
-256.2459,-0.05794822
-256.2351,-0.05784707
-256.2293,-0.05789046
-256.2288,-0.05802639
-256.2283,-0.05806522
-256.2251,-0.05811957
-256.2244,-0.05803641
-256.2181,-0.05811058
-256.2154,-0.05786479
-256.2111,-0.05818164
-256.2084,-0.05783958
-256.204,-0.05825712
-256.1998,-0.05791951
-256.1969,-0.05785756
-256.1907,-0.05792705
-256.1893,-0.05786371
-256.1881,-0.05797981
-256.1701,-0.05809036
-256.1682,-0.058038
-256.1668,-0.05806843
-256.1635,-0.05812097
-256.1583,-0.05795995
-256.1555,-0.0579117
-256.1506,-0.05803939
-256.15,-0.05817893
-256.1491,-0.05809573
-256.1419,-0.05792823
-256.1374,-0.05783586
-256.1327,-0.05802236
-256.1319,-0.05825024
-256.1272,-0.05807427
-256.1246,-0.05786919
-256.1245,-0.0577895
-256.1178,-0.05791787
-256.1144,-0.05785976
-256.1106,-0.05808332
-256.1055,-0.05803633
-256.0876,-0.05815307
-256.0847,-0.05793385
-256.0827,-0.05789472
-256.0803,-0.05807819
-256.0802,-0.05791743
-256.0768,-0.05802724
-256.0754,-0.05790377
-256.068,-0.0577919
-256.0645,-0.05785824
-256.063,-0.05782955
-256.0591,-0.05806502
-256.0515,-0.05800045
-256.0423,-0.05801559
-256.0389,-0.05792737
-256.0368,-0.05804812
-256.0358,-0.05802332
-256.0266,-0.05794015
-256.0172,-0.0579006
-256.0092,-0.05781638
