Time, Distance, CarPositionX, CarPositionY, CarPositionZ, Speed
0, 67.34563, -17.05, -0.003920317, 88.44, 0.705657
0.02, 67.34561, -17.05, -0.01105732, 88.44, 1.28466
0.092854, 67.34552, -17.05001, -0.04826957, 88.43999, 1.838802
0.135746, 67.34547, -17.05002, -0.07274878, 88.43999, 2.054583
0.1729352, 67.34529, -17.05003, -0.08133501, 88.43998, 0.8311695
0.2093032, 67.34516, -17.05004, -0.07405484, 88.43996, 0.720652
0.2464325, 67.3453, -17.05, -0.06003433, 88.43997, 1.359411
0.2798777, 67.34549, -17.04997, -0.05381989, 88.43998, 0.6689253
0.3170135, 67.34593, -17.04989, -0.04717046, 88.44002, 0.6446635
0.3517653, 67.34623, -17.04986, -0.04889625, 88.44004, 0.1788182
0.3897457, 67.34621, -17.04987, -0.05535531, 88.44005, 0.6122282
0.4260039, 67.34586, -17.0499, -0.06137371, 88.44003, 0.5975629
0.4627797, 67.34536, -17.04993, -0.06368721, 88.44, 0.2265061
0.5026527, 67.34503, -17.04995, -0.06218773, 88.43998, 0.1354071
0.5392998, 67.34501, -17.04995, -0.06062704, 88.43997, 0.1533149
0.5777274, 67.34527, -17.04994, -0.05748206, 88.43997, 0.2946327
0.6116927, 67.34572, -17.04991, -0.0557977, 88.43999, 0.1785728
0.6492497, 67.34608, -17.04988, -0.05603582, 88.44001, 0.02303552
0.6840507, 67.34621, -17.04986, -0.05742109, 88.44002, 0.1433156
0.71871, 67.34618, -17.04985, -0.05817235, 88.44002, 0.07803398
0.7536835, 67.34595, -17.04985, -0.05920762, 88.44, 0.1065782
0.7885381, 67.34563, -17.04985, -0.05934954, 88.43999, 0.01468073
0.8230785, 67.34542, -17.04985, -0.05882597, 88.43998, 0.05459382
0.8585531, 67.34538, -17.04986, -0.05847842, 88.43998, 0.03527075
0.8914737, 67.34545, -17.04986, -0.0579164, 88.43998, 0.06145971
0.9243482, 67.34566, -17.04986, -0.05773193, 88.43998, 0.02020152
0.9564143, 67.34575, -17.04986, -0.05778056, 88.43998, 0.005464624
0.9873279, 67.34583, -17.04986, -0.0578928, 88.43998, 0.01307212
1.019701, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.050301, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.083693, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.116989, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.150062, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.182407, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.216842, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.250081, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.283819, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.318249, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.352252, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.384462, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.416813, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.449199, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.481135, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.51635, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.549908, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.583381, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.616678, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.650242, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.684893, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.718214, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.752401, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.78626, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.819634, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.853542, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.886154, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.918753, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.95386, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.987532, 67.34583, -17.04986, -0.0578928, 88.43998, 0
